"Symbol","Gene_Symbol","TR.MC.3","TR.MC.2","TR.MC.1","NCM.2","NCM.1","DC.3","DC.2","DC.1"
"ENSMUSG00000061718","Ppp1r1b",0.123981162,0,0,0,0,0,0,0
"ENSMUSG00000034683","Ppp1r1c",0,0.064018913,0.056298736,0,0,0.142809455,0,0
"ENSMUSG00000047714","Ppp1r2",170.9700218,170.3543268,184.8287516,263.2719084,227.2408907,113.8905401,122.9809048,120.6675587
"ENSMUSG00000094843","Ppp1r2-ps1",0,0,0,0,0,0,0,0
"ENSMUSG00000099662","Ppp1r2-ps2",0,0,0,0.070355935,0,0,0,0
"ENSMUSG00000058816","Ppp1r2-ps3",0.061990581,0,0,0,0,0,0,0
"ENSMUSG00000059237","Ppp1r2-ps4",0,0,0,0,0,0,0,0
"ENSMUSG00000095869","Ppp1r2-ps6",0,0,0,0,0,0,0,0
"ENSMUSG00000052025","Ppp1r2-ps7",0,0,0,0,0,0,0,0
"ENSMUSG00000045217","Ppp1r2-ps9",0,0,0,0,0,0,0,0
"ENSMUSG00000034709","Ppp1r21",47.98070952,54.3520569,45.60197649,34.61511997,9.668278458,68.47713353,71.40631688,61.1460273
"ENSMUSG00000035829","Ppp1r26",0.061990581,0.192056738,0.168896209,0.703559349,0.654244407,0,0,0.194939513
"ENSMUSG00000025129","Ppp1r27",0.061990581,0.384113476,0.168896209,0,0,0.285618909,0.120925177,0.194939513
"ENSMUSG00000035179","Ppp1r32",0.123981162,0.064018913,0.506688628,0,0,0,0.181387765,0.194939513
"ENSMUSG00000029725","Ppp1r35",9.050624794,9.602836908,12.04792959,9.92018682,3.416609681,7.997329463,9.855401906,8.122479716
"ENSMUSG00000052221","Ppp1r36",0,0,0,0,0,0,0,0
"ENSMUSG00000051403","Ppp1r37",4.091378331,6.081796709,4.39130144,10.90516991,0.072693823,3.284617458,2.297578358,2.85911286
"ENSMUSG00000042717","Ppp1r3a",0.123981162,0,0,0,0,0,0,0
"ENSMUSG00000046794","Ppp1r3b",77.05429191,107.1676599,106.1231181,66.69742628,99.15437457,7.069068008,6.832272487,5.783205558
"ENSMUSG00000067279","Ppp1r3c",0.185971742,0.384113476,0.056298736,0,0,0,0.181387765,0.129959675
"ENSMUSG00000049999","Ppp1r3d",10.60038931,13.82808515,11.48494223,0,8.723258759,4.926926187,2.781279065,3.703850751
"ENSMUSG00000072494","Ppp1r3e",2.045689166,2.368699771,1.182273465,0,0,1.35668982,1.451102121,1.169637079
