X7.day.BMC.TBI.Sham.2,X7.day.BMC.TBI.Sham.1,X7.day.BMC.TBI.TBI.4,X7.day.BMC.TBI.TBI.3,X7.day.BMC.TBI.TBI.2,X7.day.BMC.TBI.TBI.1,X30.day.BMC.TBI.Sham.2,X30.day.BMC.TBI.Sham.1,X30.day.BMC.TBI.TBI.4,X30.day.BMC.TBI.TBI.3,X30.day.BMC.TBI.TBI.2,X30.day.BMC.TBI.TBI.1,X90.day.BMC.TBI.Sham.2,X90.day.BMC.TBI.Sham.1,X90.day.BMC.TBI.TBI.4,X90.day.BMC.TBI.TBI.3,X90.day.BMC.TBI.TBI.2,X90.day.BMC.TBI.TBI.1
7 day TBI Sham,7 day TBI Sham,7 day TBI,7 day TBI,7 day TBI,7 day TBI,30 day TBI Sham,30 day TBI Sham,30 day TBI,30 day TBI,30 day TBI,30 day TBI,90 day TBI Sham,90 day TBI Sham,90 day TBI,90 day TBI,90 day TBI,90 day TBI
#8B0000,#8B0000,red,red,red,red,grey40,grey40,grey,grey,grey,grey,#000080,#000080,#0D98BA,#0D98BA,#0D98BA,#0D98BA
